Republic of Kazakhstan;ID;Year;Population;Migration balance;Arrived;Departed;GDP in KZT;Number of purchase and sale transactions;Commissioning of individual and multi-apartment residential buildings;Average Salary in KZT;Price per square meter of new housing in KZT;Price per Square Meter of Resold Housing in KZT;Inflation in %;;;;;;;;
Abai;18;2022;611 888;-6 403;15 905;22 308;2 383 753,4;798;255;249 000;314 550;391 981;19,6;;;;;;;;
Akmola;3;2022;785 708;-936;29 926;30 862;3 484 572,5;1 312;805;248 000;310 098;302 925;19,5;;;;;;;;
Aktobe;4;2022;916 750;-1 668;30 092;31 760;4 416 899,4;1 650;1 104;270 300;259 302;291 203;21,0;;;;;;;;
Almaty Region;5;2022;1 478 496;898;80 064;79 166;4 267 665,3;1 352;821;252 300;316 042;467 513;19,2;;;;;;;;
Atyrau;6;2022;681 241;-1 991;18 662;20 653;13 725 399,8;1 011;1 005;526 800;376 631;332 901;17,8;;;;;;;;
West Kazakhstan;7;2022;683 327;-1 814;23 808;25 622;4 435 130,6;1 023;682;276 000;254 775;364 972;19,0;;;;;;;;
Zhambyl;8;2022;1 209 665;-10 320;32 067;42 387;2 685 459,6;1 051;1 153;216 400;160 000;288 611;18,8;;;;;;;;
Zhetisu;19;2022;698 757;-8 872;19 131;28 003;1 426 882,2;724;1 024;214 400;189 824;403 118;18,0;;;;;;;;
Karaganda;9;2022;1 134 966;-3 075;31 132;34 207;7 278 059,2;2 861;291;275 000;318 509;388 968;19,2;;;;;;;;
Kostanay;10;2022;835 686;-2 990;24 901;27 891;4 182 077,8;1 111;149;249 000;345 024;375 535;20,2;;;;;;;;
Kyzylorda;11;2022;823 251;-5 816;21 141;26 957;2 417 399,0;600;603;251 600;188 708;289 677;18,8;;;;;;;;
Mangystau;12;2022;745 909;-653;29 071;29 724;4 401 192,9;1 587;585;450 200;326 205;388 803;19,1;;;;;;;;
Pavlodar;14;2022;756 511;-2 848;20 431;23 279;4 296 923,7;851;155;266 200;314 643;391 981;23,8;;;;;;;;
North Kazakhstan;15;2022;539 111;-3 460;13 471;16 931;2 198 854,3;479;422;232 200;317 484;345 817;19,1;;;;;;;;
Turkistan;13;2022;2 088 510;-18 066;63 838;81 904;3 517 281,1;1 441;1 179;216 700;300 000;291 878;19,6;;;;;;;;
Ulytau;20;2022;220 913;-1 907;6 014;7 921;1 609 739,8;343;112;394 700;320 488;318 049;19,0;;;;;;;;
East Kazakhstan;16;2022;732 966;-1 935;18 700;20 635;3 916 818,1;948;330;271 000;343 024;390 374;20,3;;;;;;;;
Astana (city);1;2022;1 295 711;33 798;143 183;109 385;10 672 480,5;5 004;180;389 500;575 354;623 901;19,3;;;;;;;;
Almaty (city);2;2022;2 101 485;35 302;129 864;94 562;19 154 536,7;8 063;1 511;339 600;460 542;514 277;22,6;;;;;;;;
Shymkent (city);17;2022;1 162 308;2 756;51 632;48 876;3 294 392,3;1 378;1 548;227 900;461 097;419 294;19,5;;;;;;;;
Abai;18;2023;610 198;-4 878;14 141;19 019;2 801 918,9;828;712;292 800;392 789;389 062;9,7;;;;;;;;
Akmola;3;2023;788 013;-2 376;25 090;27 466;3 860 422,4;1 268;1 878;291 800;290 499;294 101;10,7;;;;;;;;
Aktobe;4;2023;928 159;-1 430;26 674;28 104;4 254 134,7;1 397;2 212;322 700;259 518;305 795;9,3;;;;;;;;
Almaty Region;5;2023;1 505 896;-556;67 361;67 917;5 219 290,7;2 194;3 483;272 700;383 406;407 421;8,4;;;;;;;;
Atyrau;6;2023;693 079;-1 867;21 071;22 938;14 327 274,3;1 095;2 756;602 000;399 350;360 086;9,6;;;;;;;;
West Kazakhstan;7;2023;688 127;-1 527;21 773;23 300;5 323 194,5;1 223;1 709;314 600;277 881;359 109;9,2;;;;;;;;
Zhambyl;8;2023;1 218 158;-9 900;29 878;39 778;3 051 608,9;1 010;2 789;257 800;350 477;297 738;9,2;;;;;;;;
Zhetisu;19;2023;698 726;-6 548;19 641;26 189;1 707 396,4;853;900;259 700;334 141;414 418;10,0;;;;;;;;
Karaganda;9;2023;1 134 855;-3 214;28 635;31 849;8 128 804,9;2 946;377;329 600;366 917;387 333;11,1;;;;;;;;
Kostanay;10;2023;832 234;-2 656;20 899;23 555;4 661 828,5;1 252;612;299 000;364 378;384 824;9,3;;;;;;;;
Kyzylorda;11;2023;833 666;-5 029;18 506;23 535;2 589 901,8;748;3 115;303 675;301 752;309 801;8,8;;;;;;;;
Mangystau;12;2023;767 106;-928;28 067;28 995;4 470 840,0;1 648;1 681;519 000;410 605;378 804;10,6;;;;;;;;
Pavlodar;14;2023;754 944;-2 053;18 100;20 153;4 374 155,2;979;518;320 000;343 342;356 409;9,3;;;;;;;;
North Kazakhstan;15;2023;534 104;-2 557;11 195;13 752;2 429 200,9;571;613;258 000;372 696;350 127;10,5;;;;;;;;
Turkistan;13;2023;2 119 226;-15 875;60 474;76 349;4 053 962,9;1 981;3 500;249 000;322 081;297 143;10,2;;;;;;;;
Ulytau;20;2023;221 421;-1 635;5 570;7 205;2 074 915,6;447;258;471 300;160 000;366 714;10,5;;;;;;;;
East Kazakhstan;16;2023;730 238;-2 256;15 667;17 923;4 636 255,6;1 105;723;316 700;348 384;385 482;10,1;;;;;;;;
Astana (city);1;2023;1 354 556;35 755;130 090;94 335;12 920 341,0;7 157;345;450 000;588 834;575 511;9,1;;;;;;;;
Almaty (city);2;2023;2 161 902;28 136;115 456;87 320;24 895 989,6;7 594;1 882;409 000;577 570;611 954;10,2;;;;;;;;
Shymkent (city);17;2023;1 192 199;1 394;54 463;53 069;4 026 601,9;1 522;2 294;266 800;435 734;430 256;9,5;;;;;;;;
Abai;18;2024;607 589;-3 472;12 944;16 416;1 299 791,4;979;457;340 237;367 517;391 809;8,7;;;;;;;;
Akmola;3;2024;787 976;-1 311;23 332;24 643;1 604 314,2;1 529;1 073;330 230;286 602;296 594;8,4;;;;;;;;
Aktobe;4;2024;939 405;-1 319;24 280;25 599;2 291 102,2;1 617;1 108;370 538;253 682;298 174;8,7;;;;;;;;
Almaty Region;5;2024;1 531 167;1 258;68 461;67 203;2 406 534,8;1 987;2 662;339 550;383 406;409 171;5,5;;;;;;;;
Atyrau;6;2024;704 074;-1 720;18 681;20 401;6 661 463,3;1 190;1 751;594 426;413 575;406 794;8,9;;;;;;;;
West Kazakhstan;7;2024;693 261;-1 426;19 236;20 662;2 146 896,1;1 872;1 027;342 237;285 735;359 472;9,0;;;;;;;;
Zhambyl;8;2024;1 222 593;-7 264;28 669;35 933;1 403 328,4;1 142;1 636;322 778;338 425;316 269;6,7;;;;;;;;
Zhetisu;19;2024;697 987;-5 091;19 267;24 358;781 003,4;848;676;300 393;318 684;325 760;8,1;;;;;;;;
Karaganda;9;2024;1 135 351;-2 812;23 248;26 060;3 296 690,9;2 989;286;379 463;366 917;391 779;8,8;;;;;;;;
Kostanay;10;2024;829 984;-2 583;16 765;19 348;1 771 516,7;1 407;463;337 636;373 081;385 139;7,5;;;;;;;;
Kyzylorda;11;2024;841 929;-4 204;16 516;20 720;1 300 409,7;691;2 512;360 840;337 528;310 869;8,1;;;;;;;;
Mangystau;12;2024;786 837;-601;23 252;23 853;2 217 360,6;2 068;1 096;579 838;406 148;322 853;9,8;;;;;;;;
Pavlodar;14;2024;753 933;-1 907;15 455;17 362;1 815 468,0;1 067;363;366 922;348 188;358 341;9,1;;;;;;;;
North Kazakhstan;15;2024;530 089;-1 932;9 844;11 776;965 108,2;909;591;297 303;361 432;359 114;8,8;;;;;;;;
Turkistan;13;2024;2 142 172;-13 158;59 725;72 883;1 757 351,2;1 064;2 321;324 470;350 589;308 187;7,7;;;;;;;;
Ulytau;20;2024;221 582;-1 097;4 849;5 946;798 910,2;396;146;522 988;367 177;337 694;6,3;;;;;;;;
East Kazakhstan;16;2024;727 053;-978;14 667;15 645;1 906 711,0;1 264;393;374 924;379 270;385 842;9,2;;;;;;;;
Astana (city);1;2024;1 430 117;29 305;122 122;92 817;5 454 843,9;6 646;265;518 495;573 427;575 519;10,3;;;;;;;;
Almaty (city);2;2024;2 228 677;15 750;104 200;88 450;10 651 833,5;8 163;1 371;480 431;579 946;599 991;8,3;;;;;;;;
Shymkent (city);17;2024;1 222 066;4 562;62 884;58 322;1 812 102,6;1 715;1 746;314 210;422 918;435 199;7,6;;;;;;;;
